Order method type,Retailer type,Product line,Revenue,Date
Telephone,Department,Camping,0.01809251,2012-03-30
Telephone,Department,Camping,0.08225408000000001,2012-03-30
Telephone,Department,Camping,0.02143473,2012-03-30
Telephone,Department,Camping,0.07040088,2012-03-30
Telephone,Department,Camping,0.07706608,2012-03-30
Telephone,Department,Camping,0.0225936,2012-03-30
Telephone,Department,Camping,0.13871156,2012-03-30
Telephone,Department,Camping,0.011394389999999999,2012-03-30
Telephone,Department,Camping,0.24351232,2012-03-30
Telephone,Department,Camping,0.16533594000000001,2012-03-30
Telephone,Department,Camping,0.1346902,2012-03-30
Telephone,Department,Camping,0.002258,2012-03-30
Telephone,Department,Camping,0.05089268,2012-03-30
Telephone,Department,Camping,0.1601032,2012-03-30
Telephone,Department,Camping,0.06651428,2012-03-30
Telephone,Department,Camping,0.016205729999999998,2012-03-30
Telephone,Department,Camping,0.033520419999999995,2012-03-30
Telephone,Department,Camping,0.15016309,2012-03-30
Telephone,Department,Camping,0.06978849000000001,2012-03-30
Telephone,Department,Camping,0.41708448,2012-03-30
Telephone,Department,Camping,0.23566035999999999,2012-03-30
Telephone,Department,Camping,0.05382216,2012-03-30
Telephone,Department,Camping,0.026806919999999998,2012-03-30
Telephone,Department,Camping,0.009873370000000001,2012-03-30
Telephone,Department,Camping,0.03207956,2012-03-30
Telephone,Department,Camping,0.07666011,2012-03-30
Telephone,Department,Camping,0.0097513,2012-03-30
Telephone,Department,Camping,0.03978531,2012-03-30
Telephone,Department,Camping,0.0202005,2012-03-30
Telephone,Department,Camping,0.00807538,2012-03-30
Telephone,Department,Camping,0.02432194,2012-03-30
Telephone,Department,Camping,0.10502154,2012-03-30
Telephone,Department,Personal,0.02806672,2012-03-30
Telephone,Department,Personal,0.016598540000000002,2012-03-30
Telephone,Department,Personal,0.00781932,2012-03-30
Telephone,Department,Personal,0.00555131,2012-03-30
Telephone,Department,Personal,0.057894,2012-03-30
Telephone,Department,Personal,0.011,2012-03-30
Telephone,Department,Personal,0.020148799999999998,2012-03-30
Telephone,Department,Personal,0.094764,2012-03-30
Telephone,Department,Personal,0.082923,2012-03-30
Telephone,Department,Personal,0.0244461,2012-03-30
Telephone,Department,Personal,0.0257877,2012-03-30
Telephone,Department,Personal,0.0208351,2012-03-30
Telephone,Department,Personal,0.01026526,2012-03-30
Telephone,Department,Personal,0.005012470000000001,2012-03-30
Telephone,Department,Personal,0.0089775,2012-03-30
Telephone,Department,Personal,0.0409427,2012-03-30
Telephone,Department,Personal,0.0297212,2012-03-30
Telephone,Department,Personal,0.04185245,2012-03-30
Telephone,Department,Personal,0.03620955,2012-03-30
Telephone,Department,Personal,0.03783,2012-03-30
Telephone,Department,Personal,0.045965,2012-03-30
Telephone,Department,Personal,0.0214781,2012-03-30
Telephone,Department,Personal,0.1344726,2012-03-30
Telephone,Department,Personal,0.0081,2012-03-30
Telephone,Department,Personal,0.01314823,2012-03-30
Telephone,Department,Personal,0.0207808,2012-03-30
